trainno,trainKnd,upbdnbSe,wkndSe,lineNm,brlnNm,stnCd,stnNo,stnNm,dptreLineNm,dptreStnCd,dptreStnNm,dptreStnNo,arvlLineNm,arvlStnCd,arvlStnNm,arvlStnNo,trainDptreTm,trainArvlTm,etrnYn,lnkgTrainno,tmprTmtblYn,vldBgngDt,vldEndDt,crtrYmd
2046,,하행,주말,김포도시철도,,4927,697,풍무,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:15:57,08:15:29,N,,N,2025-05-01T05:00:00,,20250619
2046,,하행,주말,김포도시철도,,4926,696,사우,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:18:10,08:17:42,N,,N,2025-05-01T05:00:00,,20250619
2046,,하행,주말,김포도시철도,,4925,695,걸포북변,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:21:03,08:20:35,N,,N,2025-05-01T05:00:00,,20250619
2046,,하행,주말,김포도시철도,,4924,694,운양,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:25:09,08:24:41,N,,N,2025-05-01T05:00:00,,20250619
2046,,하행,주말,김포도시철도,,4923,693,장기,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:27:50,08:27:22,N,,N,2025-05-01T05:00:00,,20250619
2046,,하행,주말,김포도시철도,,4922,692,마산,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:31:40,08:31:12,N,,N,2025-05-01T05:00:00,,20250619
2046,,하행,주말,김포도시철도,,4921,691,구래,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,,08:34:42,N,,N,2025-05-01T05:00:00,,20250619
2048,,하행,주말,김포도시철도,,4929,699,김포공항,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:11:00,,N,,N,2025-05-01T05:00:00,,20250619
2048,,하행,주말,김포도시철도,,4928,698,고촌,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:17:20,08:16:52,N,,N,2025-05-01T05:00:00,,20250619
2048,,하행,주말,김포도시철도,,4927,697,풍무,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:21:57,08:21:29,N,,N,2025-05-01T05:00:00,,20250619
2048,,하행,주말,김포도시철도,,4926,696,사우,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:24:10,08:23:42,N,,N,2025-05-01T05:00:00,,20250619
2048,,하행,주말,김포도시철도,,4925,695,걸포북변,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:27:03,08:26:35,N,,N,2025-05-01T05:00:00,,20250619
2048,,하행,주말,김포도시철도,,4924,694,운양,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:31:09,08:30:41,N,,N,2025-05-01T05:00:00,,20250619
2048,,하행,주말,김포도시철도,,4923,693,장기,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:33:50,08:33:22,N,,N,2025-05-01T05:00:00,,20250619
2048,,하행,주말,김포도시철도,,4922,692,마산,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:37:40,08:37:12,N,,N,2025-05-01T05:00:00,,20250619
2048,,하행,주말,김포도시철도,,4921,691,구래,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,,08:40:42,N,,N,2025-05-01T05:00:00,,20250619
2052,,하행,주말,김포도시철도,,4929,699,김포공항,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:23:00,,N,,N,2025-05-01T05:00:00,,20250619
2052,,하행,주말,김포도시철도,,4928,698,고촌,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:29:20,08:28:52,N,,N,2025-05-01T05:00:00,,20250619
2052,,하행,주말,김포도시철도,,4927,697,풍무,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:33:57,08:33:29,N,,N,2025-05-01T05:00:00,,20250619
2052,,하행,주말,김포도시철도,,4926,696,사우,김포도시철도,4929,김포공항,699,김포도시철도,4921,구래,691,08:36:10,08:35:42,N,,N,2025-05-01T05:00:00,,20250619
